title,artist,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
Wildflower,Billie Eilish,2024-06-01,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,spotify:track:3QaPy1KgI7nu9FJEQUgn6h
Back It Up And Dump It (Dump Truck),"Kinfolk Thugs, GC Eternal & Tyme Bomb",2024-06-01,0.708,0.657,0,-8.074,0,0.098,0.114,0.0,0.296,0.803,139.851,spotify:track:3hFnQwSt5zAWaYpLuMSWB7
Slay!,Eternxlkz,2024-06-01,0.681,0.773,1,-4.706,1,0.0345,0.0863,0.734,0.0978,0.504,129.923,spotify:track:67smGwuPEtA6GAfeweAVNO
Pink Skies,Zach Bryan,2024-06-01,0.525,0.488,0,-6.909,1,0.038,0.191,5.14e-05,0.135,0.253,84.999,spotify:track:4ZJ4vzLQekI0WntDbanNC7
"Not A Lot, Just Forever",Adrianne Lenker,2024-06-01,0.354,0.269,1,-13.242,1,0.0297,0.885,0.00035,0.0872,0.304,91.608,spotify:track:11hEwcy9LMEvzAlOYAFhkK
Slow Dancing In The Dark,Joji,2024-06-01,0.517,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.968,spotify:track:6rY5FAWxCdAGllYEOZMbjW
Lady Killers III,G-Eazy,2024-06-01,0.708,0.732,7,-6.766,0,0.145,0.0438,0.0,0.139,0.465,135.99,spotify:track:3WqnBqYNdMlNBX4xNkOhrR
Ghost Town,Kanye West Featuring PARTYNEXTDOOR,2024-06-01,0.573,0.545,7,-4.247,0,0.0288,0.0969,0.0,0.329,0.297,83.378,spotify:track:7vgTNTaEz3CsBZ1N4YQalM
Fantasmas,Humbe,2024-06-01,0.344,0.384,0,-7.064,1,0.0317,0.629,0.000445,0.31,0.334,163.664,spotify:track:5rcnAHBclBs0OGV4rATEnR
Hell N Back,Bakar Featuring Summer Walker,2024-06-01,0.64,0.673,5,-4.519,0,0.563,0.288,2.15e-06,0.113,0.736,209.942,spotify:track:0jcw8cJf3TNMZN0BXlueML
